Unnamed: 0,call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,age,customer_value,actual_churn,churn_probability,risk_segment,retention_priority,recommended_action
0,8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0,0.0003101897,Low,Routine,Maintain standard customer engagement
7,13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0,7.0661095e-05,Low,Routine,Maintain standard customer engagement
11,9,0,38,0,2238,54,8,17,3,1,2,30,123.68,0,0.0028996638,Low,Routine,Maintain standard customer engagement
14,9,0,37,0,15485,182,150,30,2,1,1,25,1380.015,0,0.0006292609,Low,Routine,Maintain standard customer engagement
15,3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0,5.18249e-05,Low,Routine,Maintain standard customer engagement
17,2,0,38,0,710,14,13,8,3,1,2,30,80.96,0,0.21875997,Medium,Monitor,Send proactive engagement and satisfaction check
19,3,0,37,0,7508,127,384,43,2,1,1,25,2071.575,0,0.00015335198,Low,Routine,Maintain standard customer engagement
25,1,0,34,0,2840,22,0,14,3,1,1,30,114.48,0,0.0009799261,Low,Routine,Maintain standard customer engagement
26,9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1,0.99697125,Critical,Immediate,Escalate for immediate retention intervention
43,2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0,1.7843691e-05,Low,Routine,Maintain standard customer engagement
47,8,0,16,3,2853,45,31,19,3,2,1,30,239.92,0,0.00031913968,Low,Routine,Maintain standard customer engagement
52,13,0,39,1,2513,63,364,26,3,1,1,30,1559.04,0,3.3000135e-05,Low,Routine,Maintain standard customer engagement
55,14,0,40,2,3835,85,37,30,3,2,1,30,304.8,0,0.00041620815,Low,Routine,Maintain standard customer engagement
56,7,0,40,1,2420,42,290,20,3,1,1,30,1258.48,0,3.579662e-05,Low,Routine,Maintain standard customer engagement
